t (s);x (m);        y (m)
0;1;0.5
0.02;1.01000004;0.517992
0.04;1.02000032;0.535968
0.06;1.03000108;0.553928
0.08;1.04000256;0.571872
0.1;1.050005;0.5898
0.12;1.06000864;0.607712
0.14;1.07001372;0.625608
0.16;1.08002048;0.643488
0.18;1.09002916;0.661352
0.2;1.10004;0.6792
0.22;1.11005324;0.697032
0.24;1.12006912;0.714848
0.26;1.13008788;0.732648
0.28;1.14010976;0.750432
0.3;1.150135;0.7682
0.32;1.16016384;0.785952
0.34;1.17019652;0.803688
0.36;1.18023328;0.821408
0.38;1.19027436;0.839112
0.4;1.20032;0.8568
0.42;1.21037044;0.874472
0.44;1.22042592;0.892128
0.46;1.23048668;0.909768
0.48;1.24055296;0.927392
0.5;1.250625;0.945
0.52;1.26070304;0.962592
0.54;1.27078732;0.980168
0.56;1.28087808;0.997728
0.58;1.29097556;1.015272
0.6;1.30108;1.0328
0.62;1.31119164;1.050312
0.64;1.32131072;1.067808
0.66;1.33143748;1.085288
0.68;1.34157216;1.102752
0.7;1.351715;1.1202
0.72;1.36186624;1.137632
0.74;1.37202612;1.155048
0.76;1.38219488;1.172448
0.78;1.39237276;1.189832
0.8;1.40256;1.2072
0.82;1.41275684;1.224552
0.84;1.42296352;1.241888
0.86;1.43318028;1.259208
0.88;1.44340736;1.276512
0.9;1.453645;1.2938
0.92;1.46389344;1.311072
0.94;1.47415292;1.328328
0.96;1.48442368;1.345568
0.98;1.49470596;1.362792
1;1.505;1.38
1.02;1.51530604;1.397192
1.04;1.52562432;1.414368
1.06;1.53595508;1.431528
1.08;1.54629856;1.448672
1.1;1.556655;1.4658
1.12;1.56702464;1.482912
1.14;1.57740772;1.500008
1.16;1.58780448;1.517088
1.18;1.59821516;1.534152
1.2;1.60864;1.5512
1.22;1.61907924;1.568232
1.24;1.62953312;1.585248
1.26;1.64000188;1.602248
1.28;1.65048576;1.619232
1.3;1.660985;1.6362
1.32;1.67149984;1.653152
1.34;1.68203052;1.670088
1.36;1.69257728;1.687008
